product_no,product_name,product_price
F1,奇多,5.5
F2,金华火腿,2
F3,薯片,3.8
F4,巧克力,6.2
F5,牛肉干,7.5
F6,矿泉水,1.5
F7,饼干,4
F8,方便面,3.5
F9,口香糖,2.8
F10,酸奶,5
F11,可乐,3
F12,雪碧,3
F13,花生,4.5
F14,瓜子,2.5
F15,奶茶,6
F16,面包,4.8
F17,糖果,3.2
F18,果冻,2.3
F19,鱿鱼丝,8
F20,猪肉脯,7.8
F21,绿茶,4.5
F22,咖啡,9
F23,果汁,5.5
F24,牛奶,6.5
F25,冰淇淋,7
F26,火腿肠,3.5
F27,蛋黄派,4.2
F28,豆腐干,3.8
F29,辣条,2.5
F30,坚果,8.5
F31,爆米花,4
F32,燕麦,6.8
F33,红枣,5.2
F34,葡萄干,4.5
F35,话梅,3
F36,山楂片,2.8
F37,威化饼,4.5
F38,蛋卷,5
F39,沙琪玛,4.8
F40,曲奇,6.5
F41,凤爪,5.5
F42,鸭脖,6
F43,鱼豆腐,4.5
F44,海苔,3.8
F45,芝士条,7.5
F46,布丁,4
F47,泡泡糖,1.5
F48,棒棒糖,2
F49,棉花糖,3.5
F50,跳跳糖,2.8
F51,薄荷糖,2.5
F52,奶片,3
F53,芝麻糊,5.5
F54,藕粉,6
F55,麦片,7
F56,豆浆粉,4.5
F57,核桃粉,8
F58,杏仁露,5.8
F59,凉茶,4.5
F60,运动饮料,6.5
F61,维生素水,7.5
F62,椰子水,8
F63,柠檬茶,4
F64,乌龙茶,5.5
F65,红茶,6
F66,花茶,5.8
F67,黑茶,7.2
F68,白茶,8.5
F69,普洱茶,9
F70,大麦茶,4.5
F71,姜茶,5
F72,蜂蜜,8
F73,蜂王浆,9.5
F74,蜂胶,10
F75,花粉,7.5
F76,龟苓膏,6
F77,凉粉,3.5
F78,果酱,5.5
F79,花生酱,6
F80,芝麻酱,7
F81,番茄酱,4.5
F82,辣椒酱,5
F83,豆瓣酱,5.5
F84,沙拉酱,6.5
F85,蛋黄酱,7
F86,奶酪,8.5
F87,黄油,9
F88,奶油,7.5
F89,炼乳,6
F90,奶粉,8
F91,豆奶粉,5.5
F92,藕粉,6.5
F93,玉米粉,4
F94,糯米粉,5
F95,淀粉,3.5
F96,面包糠,4.5
F97,酵母,5
F98,泡打粉,3
F99,小苏打,2.5
F100,味精,4
F101,鸡精,5
F102,盐,1.5
F103,糖,3
F104,冰糖,4.5
F105,红糖,5
F106,白糖,4
F107,方糖,3.5
F108,麦芽糖,6
F109,饴糖,5.5
F110,巧克力酱,7
F111,草莓酱,6.5
F112,蓝莓酱,7
F113,苹果酱,5.5
F114,菠萝酱,6
F115,芒果酱,7.5
F116,椰子酱,8
F117,榴莲酱,9
F118,香蕉片,5.5
F119,苹果干,4.5
F120,芒果干,6
F121,草莓干,5.5
F122,蓝莓干,7
F123,猕猴桃干,6.5
F124,菠萝干,5
F125,木瓜干,4.5
F126,红薯干,3.5
F127,芋头干,4
F128,南瓜子,5.5
F129,西瓜子,4
F130,葵花子,3.5
F131,松子,8
F132,榛子,7.5
F133,开心果,9
F134,腰果,8.5
F135,夏威夷果,10
F136,碧根果,9.5
F137,巴旦木,8
F138,核桃,7.5
F139,杏仁,7
F140,板栗,6.5
F141,莲子,5.5
F142,百合,6
F143,枸杞,7.5
F144,桂圆干,8
F145,荔枝干,7
F146,无花果干,6.5
F147,杏干,5
F148,桃干,4.5
F149,梨干,4
F150,山楂卷,3.5
F151,地瓜条,4
F152,芋头条,5
F153,玉米片,4.5
F154,锅巴,3
F155,虾条,4
F156,鱼片,6.5
F157,牛肉粒,7
F158,猪肉粒,6.5
F159,鸡肉丝,5.5
F160,鸭肉干,6
F161,鹅肝酱,9.5
F162,鱼子酱,10
F163,海参,9
F164,鲍鱼,8.5
F165,扇贝,7.5
F166,虾皮,6
F167,紫菜,5.5
F168,海带,4
F169,裙带菜,5
F170,香菇,6.5
F171,木耳,7
F172,银耳,6
F173,竹荪,8.5
F174,猴头菇,9
F175,松茸,10
F176,牛肝菌,9.5
F177,鸡枞菌,8
F178,茶树菇,7.5
F179,金针菇,6
F180,平菇,5.5
F181,杏鲍菇,6.5
F182,草菇,5
F183,滑子菇,4.5
F184,口蘑,7
F185,羊肚菌,9
F186,灵芝,10
F187,虫草,10
F188,人参,9.5
F189,西洋参,8.5
F190,三七,7.5
F191,黄芪,6.5
F192,当归,7
F193,枸杞子,5.5
F194,红枣,4.5
F195,桂圆,5
F196,莲子,6
F197,百合,5.5
F198,银耳,4.5
F199,黑芝麻,7
F200,白芝麻,6.5
F201,花生,5
F202,核桃,6
F203,杏仁,7
F204,腰果,8
F205,开心果,9
F206,松子,8.5
F207,榛子,7.5
F208,夏威夷果,9.5
F209,碧根果,8
F210,巴旦木,7
F211,南瓜子,5.5
F212,西瓜子,4.5
F213,葵花子,3.5
F214,葡萄干,4
F215,蔓越莓干,5.5
F216,蓝莓干,6
F217,草莓干,5
F218,芒果干,6.5
F219,菠萝干,4.5
F220,香蕉片,5
F221,苹果干,4
F222,猕猴桃干,5.5
F223,木瓜干,4.5
F224,红薯干,3.5
F225,芋头干,4
F226,地瓜条,4.5
F227,芋头条,5
F228,玉米片,4
F229,锅巴,3
F230,虾条,4.5
F231,鱼片,6
F232,牛肉粒,7.5
F233,猪肉粒,6
F234,鸡肉丝,5
F235,鸭肉干,6.5
F236,鹅肝酱,9
F237,鱼子酱,10
F238,海参,8.5
F239,鲍鱼,9
F240,扇贝,7
F241,虾皮,5.5
F242,紫菜,4.5
F243,海带,3.5
F244,裙带菜,4
F245,香菇,6
F246,木耳,6.5
F247,银耳,5.5
F248,竹荪,8
F249,猴头菇,9.5
F250,松茸,10
F251,牛肝菌,9
F252,鸡枞菌,8.5
F253,茶树菇,7
F254,金针菇,6.5
F255,平菇,5
F256,杏鲍菇,6
F257,草菇,4.5
F258,滑子菇,3.5
F259,口蘑,7.5
F260,羊肚菌,9
F261,灵芝,10
F262,虫草,10
F263,人参,9
F264,西洋参,8
F265,三七,7
F266,黄芪,6
F267,当归,6.5
F268,枸杞子,5
F269,红枣,4
F270,桂圆,5.5
F271,莲子,5.5
F272,百合,6
F273,银耳,4
F274,黑芝麻,6.5
F275,白芝麻,6
F276,花生,4.5
F277,核桃,5.5
F278,杏仁,6.5
F279,腰果,7.5
F280,开心果,8.5
F281,松子,8
F282,榛子,7
F283,夏威夷果,9
F284,碧根果,8.5
F285,巴旦木,7.5
F286,南瓜子,5
