date,reviews,stars,product_name
2025/6/1,这款蓝莓干果肉饱满，没有添加太多糖，很健康！,5,蓝莓干
2025/6/3,蓝莓干没有防腐剂的味道，天然果香，很喜欢！,5,蓝莓干
2025/6/5,蓝莓干酸甜适中，孩子特别爱吃，已经回购好几次了！,5,蓝莓干
2025/6/1,复购的批次质量差，再也不买了！,1,
2025/6/1,搭配燕麦酸奶绝配，早餐营养又美味！,5,
2025/6/10,蓝莓干硬得像石头，牙口不好的人根本咬不动！,3,蓝莓干
2025/6/11,每天吃一小把蓝莓干，感觉对眼睛疲劳有帮助！,5,蓝莓干
2025/6/1,价格比超市贵一倍，品质却差很多，纯纯的智商税！,3,
2025/6/1,保质期只剩1个月，商家明显在清库存！,3,
2025/6/14,蓝莓干太硬，嚼得牙疼，不喜欢！,3,蓝莓干
2025/6/14,蓝莓干软硬适中，不会太黏牙，口感很棒！,5,蓝莓干
2025/6/3,颜色过于鲜艳，怀疑加了色素！,3,
2025/6/3,宣传是熟芝麻，实际是生的！,1,黑芝麻
2025/6/3,包装上写“无添加”，结果配料表全是糖和防腐剂！,3,
2025/6/3,客服说芝麻不褪色，结果掉一手黑！,0,黑芝麻
2025/6/5,物流慢，芝麻到货都闷出油味了！,0,黑芝麻
2025/6/11,卖家还贴心地送了芝麻糖食谱，自己在家做零食超方便！,5,黑芝麻
2025/6/5,包装密封性好，不会受潮，保存时间长！,5,
2025/6/11,价格实惠量又足，学生党也能轻松实现芝麻自由！,5,黑芝麻
2025/6/5,吃完后舌头染色，怀疑加了人工色素！,3,
2025/6/1,黑芝麻含钙量高，给孩子做辅食营养又健康！,5,黑芝麻
2025/6/3,黑芝麻炒制得恰到好处，不苦不焦，直接吃都特别香！,5,黑芝麻
2025/6/3,黑芝麻油润度刚好，打出来的芝麻酱特别细腻！,5,黑芝麻
2025/6/5,黑芝麻价格涨了，性价比太低！,1,黑芝麻
2025/6/5,黑芝麻干净无杂质，不用淘洗直接就能用，省时省力！,4,黑芝麻
2025/6/10,复购的批次质量明显下降，不会再买了！,3,
2025/6/10,颗粒完整，没有碎渣，品质比之前买的好很多！,5,
2025/6/10,黑芝麻标签无生产日期，三无产品！,2,黑芝麻
2025/6/11,里面掺了很多碎渣，品质很差！,3,
2025/6/11,口感黏牙，吃完牙齿上都是糖！,3,
2025/6/11,保质期快到了，商家清库存卖的吧？,3,
2025/6/11,价格实惠，一大袋能吃很久，性价比很高！,5,
2025/6/10,打豆浆时加两勺黑芝麻，香味浓郁，全家人都爱喝！,5,黑芝麻
2025/6/11,黑芝麻洗出好多泥沙，太脏了！,2,黑芝麻
2025/6/11,价格实惠，一斤能吃很久，比线下店便宜30%！,5,
2025/6/11,黑芝麻受潮结块，像发霉了！,2,黑芝麻
2025/6/11,里面掺了很多碎渣和果梗，品质太差劲了！,3,
2025/6/11,分量严重不足，袋子一半都是空气！,3,
2025/6/11,黑芝麻颗粒饱满油亮，打开包装就闻到浓浓的芝麻香，品质超好！,5,黑芝麻
2025/6/11,每天坚持吃一勺黑芝麻，白头发真的变少了，效果惊喜！,5,黑芝麻
2025/6/14,吃了半个月没任何乌发效果！,2,
2025/6/14,包装漏气，到货时已经受潮变黏了！,3,
2025/6/14,分量不足，袋子看起来大，实际没多少！,3,
2025/6/14,客服态度差，反映问题不解决！,3,
2025/6/14,打开袋子一股刺鼻的香精味，根本不敢吃！,3,
2025/6/14,客服态度恶劣，反映质量问题直接被已读不回！,2,
2025/6/14,复购的批次品质暴跌，颗粒小还发苦，拉黑这家店！,3,
2025/6/14,搭配核桃、红枣一起打粉，每天吃一勺，气色越来越好！,4,
2025/6/14,独立小包装设计，随身携带当健康零食，防脱发又补钙！,5,
2025/6/14,客服态度超好，详细解答了储存方法，购物体验满分！,5,
2025/6/16,蓝莓干发酸，像是劣质果做的！,2,蓝莓干
2025/6/16,蓝莓干黏成一团，根本掰不开，像劣质果酱！,2,蓝莓干
2025/6/23,蓝莓干性价比超高，比超市便宜不少，量还大！,5,蓝莓干
2025/6/16,添加剂太多，吃完嘴里有怪味！,2,
2025/6/23,蓝莓干富含花青素，觉得很有营养，会长期吃！,4,蓝莓干
2025/6/23,蓝莓干颜色发黑，一看就是陈年旧货，完全不新鲜！,3,蓝莓干
2025/6/16,包装密封性很好，完全不用担心受潮，保存特别方便！,5,
2025/6/16,坚持吃了一个月，指甲都变硬了，补钙效果杠杠的！,5,
2025/6/23,包装漏气严重，收到时蓝莓干已经发黏结块了！,4,蓝莓干
2025/6/23,物流慢到离谱，收到时蓝莓干都闷馊了！,3,蓝莓干
2025/7/1,蓝莓干太甜了，糖分超标，不健康！,1,蓝莓干
2025/7/1,蓝莓干个头小，和宣传图差距太大！,3,蓝莓干
2025/6/23,价格比别的品牌贵，但味道一般，不值！,2,
